cluster,words,prominence
0,buddhists quang immolation thich duc himself monks đuc intersection immolated protesting buddhist halberstam browne protest doused diem regime vietnamese đinh persecution protests dinh monk saigon government busy burned gasoline malcolm immolations ablaze religious buddhism martyrdom calmly lotus nuns ngo act sacrifice cushion nhu journalists self mahayana poured pagoda flames engulfed,569.8687041885217
9,band album debut morello funk wilk rocha guitar bombtrack commerford released song tom zack remastered albums testify track rap music finsbury cypress lyrics ratm metal machine name punk township rage demos rock songs dvd riffs alternative vocals singles bulls disc bands bass heavy single musical guitarist audioslave zach hip live,431.43854721076053
2,music album albums song songs favorite arranger itunes playlist band tracks favourite genres newsletter rock cathegory gggarth enjoy luv bands subscribe classic track wp_trim_excerpt mastering download rap logged pop debut lyricist concerts listening uzi links upcoming downloads released flac lyrics finsbury hard timeless best online p_ listen indie digest singer,409.6407630537547
14,photographer photograph captured taken ut iconic photo photographs pictures photos girl ap pulitzer image napalm prize hindenburg soldier eisenstaedt vulture dorothea cong picture photojournalist photographed during famous colorized alfred photographers mccurry images photography phuc lyon soldiers starving lange shot trang camp depicts einstein troops viet huet killed horst marina kissing,371.0829710601333
6,blog photos notifications facebook wp_trim_excerpt twitter archives addthis meta commenting categories pictures stuff comments imgur recent using connecting email photography google spam interesting wordpress follow stats join posts pics photoshop tag address random story receive karnal this click celebrity colorized here account blogs photographs pages links amazing other pinterest historical,358.90427409017104
12,email password username your users websites server online please website content input registered upload address use automatically logged can information access error web you delete links page find facebook click desktop register browser if iphone wallpapers wallpaper sign software comments this files data create connect will login digital or account,302.4594149852784
1,cart customer stock vinyl customers availability shopping releases shipping item product available items notify lp javascript format label alerts records products reissue store reviews online information review genre cd browser contact ticketroute functionality genres tracklist mastering email newsletter gram description tickets enable edition emails delivery website sony service features price,247.49220371184876
3,involvement vietnam minh chi domino indochina tonkin ho accords vietminh vietnamization north communist presentations laos war johnson geneva divided gulf dien escalation south cambodia containment french nlf eisenhower advisors communism communists troops truman lbj vietnamese chapter phu fought westmoreland bien elections france southeast defeat objectives independence diem nixon wwii slideplayer,216.64639760894923
7,device desktop web spotify browser devices premium listen use player app automatically favourite javascript personalize analytics your access can ads website cookies infected any purposes listening listeners scan music loading try enable links functionality someone interests features our experience or mobile prevent sure songs agree connect playlist please trial make,187.7473482586776
11,tours hanoi hue mekong minh local temples vietnam city saigon chi tourist vietnamese ho district visited markets gelatin colonial communists pagodas private china bao history half food south french tour walking museum karnal north đinh capital imperial communist dai boats northern delta polite_gandalf military diem cities intimidate countries population freediver,184.76635520078173
13,vinyl ebay rsd sealed lp refine picclick cd edition renegades p_ gram record mint evil machine duration rare import auditorium verisign empire norton eur guaranteed rage sleeve irvine seller promo panel current_slide total_slides condition cds new poster against vintage sell live item titled shop remastered angeles mac deluxe gatefold explicit,162.474805510005
4,karnal apr freediver polite_gandalf posts forums intimidate comma forum posted threads bmw interesting llc wiki userinfo sep postbit popupmenu users thread boards jun links discussion reserved css browsing points joined monthly donor ads cathegory partners followers mar find location competition pm other reply quote user confirm wp_trim_excerpt believe subject sambhogakaya,157.51904044170905
10,meme spray pepper uc pike cop davis memes shit bye thread kinda officer nbsp guy lol guys slot anon fucking combo funny mod don edit okay bad honestly template anymore ass pic im john lt dude youtube cute getting guess deserve game nice menu just pretty kelly maybe internet threads,110.90629065654014
16,ya gotta yo ugh chorus fuck yeah badge cause em gonna huh verse tell ll sick fistful burn fist yes come do justify they mic react hardline bombtrack lies told those power now wit won lane you take wake shit what bullet fucking township lyrics text ignorance chosen speak check,109.45562833720393
15,post media thread boards searches latest archives share sites replies threads link member other wp_trim_excerpt getting addthis awesome posts discussion monkey started haven go forums comma discipline can polite_gandalf believe this mechanical senior jimi useful manosphere ve don awareness trader thing shit relatively what devices intimidate alpha actually on if,104.61001937455771
8,verisign norton item tab secured opens window current_slide navigation total_slides packaging powered additional payment buyer new layer shipping sponsored notification seller condition cds returns rated jul users ratings qty_dummy price vinyl netherlands or site slide prices current reviews product stars cd delivery category items details value handling import explore categories,86.9929651826578
5,fineartamerica prints framed acrylic art codes discount artwork favorites canvas guarantee greeting everett print shipped deals apparel keyword wood purchase exclusive horizontal decor reproductions connected server within sale vertical frame create settings sellers ok shapes shop facility stay mounting piece worldwide contact designs fine wall comes filters cases mat products,78.99427112844558
